,sentence,adjective,noun,
0,"No muidugi ... midagi ... ma ei saa seda ütelda ( kõlab ***** naer , kavala pilguga Sahlene aimab kätega järele seda , mis meestel on ) .",pikk,naer,yes
1,"No muidugi ... midagi ... ma ei saa seda ütelda ( kõlab ***** naer , kavala pilguga Sahlene aimab kätega järele seda , mis meestel on ) .",kauge,naer,no
2,"Teisalt tekitab poliitikute ja valijate vahelist võõrandumist valimissüsteem , mis ***** erakondadele eelistab kunstlikult moodustatud abstraktseid liitusid ja mis võimaldab parlamenti pääsu absurdselt väikese toetuse saanud poliitikutele .",konkreetne,erakond,yes
3,"Teisalt tekitab poliitikute ja valijate vahelist võõrandumist valimissüsteem , mis ***** erakondadele eelistab kunstlikult moodustatud abstraktseid liitusid ja mis võimaldab parlamenti pääsu absurdselt väikese toetuse saanud poliitikutele .",minimalistlik,erakond,no
4,"Paljud Hollywoodi staarid ja tähehakatised on ***** kirurgi kabineti uksi kulutanud , et vormikamat rinnapartiid saada ja selle abil oma karjäärile tuult tiibadesse puhuda .",plastiline,kirurg,yes
5,"Paljud Hollywoodi staarid ja tähehakatised on ***** kirurgi kabineti uksi kulutanud , et vormikamat rinnapartiid saada ja selle abil oma karjäärile tuult tiibadesse puhuda .",paindlik,kirurg,yes
6,Pensioni suurus kujuneks vastavalt järgmise põlvkonna arvukusele ja meie lapsed ning lapselapsed ei peaks ägama liig ***** maksukoormuse all .,suur,maksukoormus,yes
7,Pensioni suurus kujuneks vastavalt järgmise põlvkonna arvukusele ja meie lapsed ning lapselapsed ei peaks ägama liig ***** maksukoormuse all .,kõrge,maksukoormus,yes
8,Selles tunnistatakse kehtetuks seni ***** pakkujate eelistamist võimaldanud sätted .,kodumaine,pakkuja,yes
9,Selles tunnistatakse kehtetuks seni ***** pakkujate eelistamist võimaldanud sätted .,riigisisene,pakkuja,yes
10,Seepärast teeb koosolek ettepaneku sm. direktor K. Sahale kõrvaldada Harry Teffel teatri koosseisust kui nõukogulikku “ Vanemuist ” ***** töötaja .,kahjustav,töötaja,yes
11,Seepärast teeb koosolek ettepaneku sm. direktor K. Sahale kõrvaldada Harry Teffel teatri koosseisust kui nõukogulikku “ Vanemuist ” ***** töötaja .,ebaotstarbekas,töötaja,no
12,"Neid on nähtud koos aega veetmas mitmetes meelelahutusasutustes , hiljaaegu ***** õhtupoolikut sisustamas eksklusiivsel veinipööningul Vinoteek .",õdus,õhtupoolik,yes
13,"Neid on nähtud koos aega veetmas mitmetes meelelahutusasutustes , hiljaaegu ***** õhtupoolikut sisustamas eksklusiivsel veinipööningul Vinoteek .",meeldiv,õhtupoolik,yes
14,"Jaanus Hämarsoo “ Selle kaalu ikka tunned taskus ! ” kiidab ROBERT LEPIKSON oma ***** , mitu- sada tuhat krooni maksvat mobiiltelefoni .",uus,mobiiltelefon,yes
15,"Jaanus Hämarsoo “ Selle kaalu ikka tunned taskus ! ” kiidab ROBERT LEPIKSON oma ***** , mitu- sada tuhat krooni maksvat mobiiltelefoni .",originaalne,mobiiltelefon,yes
16,"Viiendaks : ***** autonoomia neile rahvastele , kelle eraldamine Venemaast geograafilistel põhjustel ei olnud võimalik .",laialdane,autonoomia,yes
17,"Viiendaks : ***** autonoomia neile rahvastele , kelle eraldamine Venemaast geograafilistel põhjustel ei olnud võimalik .",lai,autonoomia,no
18,"Võibolla mõni sakslane istub , neil on Baltimaade vastu ***** huvi .",ajalooline,huvi,yes
19,"Võibolla mõni sakslane istub , neil on Baltimaade vastu ***** huvi .",keskaegne,huvi,no
20,"” Hollyle meeldiks , kui Eesti teeks teatavaks mingi ***** seisukoha , näiteks et siia pääsevad ainult etnilised eestlased ja õigusjärgsed kodanikud .",lõplik,seisukoht,yes
21,"” Hollyle meeldiks , kui Eesti teeks teatavaks mingi ***** seisukoha , näiteks et siia pääsevad ainult etnilised eestlased ja õigusjärgsed kodanikud .",viimane,seisukoht,no
22,"Neljas , konstruktiivne teema puudutab aga juba võimalikke / ***** ümberkorraldusi ülemaailmses plaanis .",vajalik,ümberkorraldus,yes
23,"Neljas , konstruktiivne teema puudutab aga juba võimalikke / ***** ümberkorraldusi ülemaailmses plaanis .",hädavajalik,ümberkorraldus,yes
24,” Psühholoogia ja enesearendamine on Kerstile alati ***** huvi pakkunud .,suur,huvi,yes
25,” Psühholoogia ja enesearendamine on Kerstile alati ***** huvi pakkunud .,sügav,huvi,yes
26,"” Särtsakas Kadi loodab tulevikus tööd teha ***** erialal , reklaamiloomingu muusikalisel poolel .",õpitav,eriala,yes
27,"” Särtsakas Kadi loodab tulevikus tööd teha ***** erialal , reklaamiloomingu muusikalisel poolel .",õpetlik,eriala,yes
28,"Tegelikult on see ju üks ***** usundi vorme , näiteks pühapiltide kummardamine , mida ajast aega on tehtud .",ürgne,usund,yes
29,"Tegelikult on see ju üks ***** usundi vorme , näiteks pühapiltide kummardamine , mida ajast aega on tehtud .",algne,usund,yes
30,Ametisse jäänud politseinikud jätkavad tööd pidevas pingeseisundis ja ***** ülekoormusega .,suur,ülekoormus,yes
31,Ametisse jäänud politseinikud jätkavad tööd pidevas pingeseisundis ja ***** ülekoormusega .,sügav,ülekoormus,no
32,"” Mõnikord meeldib talle esile tuua oma ***** ja sisemise mina vastuolulisust : “ Pole minust heasoovlikumat inimest ” , “ Mul on looduse poolt kaasa antud lahke nägu ” jne .",välimine,mina,yes
33,"” Mõnikord meeldib talle esile tuua oma ***** ja sisemise mina vastuolulisust : “ Pole minust heasoovlikumat inimest ” , “ Mul on looduse poolt kaasa antud lahke nägu ” jne .",väline,mina,yes
34,“ Itaalia on jätnud mulle just ***** tunde !,kodune,tund,no
35,“ Itaalia on jätnud mulle just ***** tunde !,mitteametlik,tund,no
36,"Aga ***** büroosid tuleb selle tõttu , et elu läheb edasi .",uus,büroo,yes
